beat_number,timestamp,strength
1,0.406349,0.848468
2,1.532517,0.959550
3,2.530975,0.843872
4,3.529433,0.706093
5,4.539501,0.531411
6,5.537959,0.702651
7,6.536417,0.906435
8,7.534875,1.000000
9,8.533333,0.488081
10,9.531791,0.369438
11,10.530249,0.310738
12,11.540317,0.412194
13,12.538776,0.532452
14,13.537234,0.612407
15,14.535692,0.551116
16,15.534150,0.510322
17,16.532608,0.435731
18,17.531066,0.305456
19,18.541134,0.355600
20,19.539592,0.456981
21,20.538050,0.588937
22,21.536508,0.598255
23,22.534966,0.634403
24,23.533424,0.482628
25,24.531882,0.190762
26,25.541950,0.274609
27,26.540408,0.381667
28,27.538866,0.497883
29,28.537324,0.441403
30,29.535782,0.476505
31,30.534240,0.440875
32,31.532698,0.391661
33,32.542766,0.231165
34,33.541224,0.326113
35,34.539683,0.458889
36,35.526531,0.000000
37,36.420499,0.046571
38,37.407347,0.362634
39,38.405805,0.312170
40,39.404263,0.190630
